file	theorem	proof_deps	resolved_deps	missing_deps	oracles	has_skip_proof
GeoTopBase0_geotop_complex_rel_interior_disjoint_distinct.p	GeoTopBase0.geotop_complex_rel_interior_disjoint_distinct	31	31	0	0	false
GeoTopBase0_geotop_chain_simplex_intersection_common_cell.p	GeoTopBase0.geotop_chain_simplex_intersection_common_cell	48	48	0	0	false
GeoTopBase_connected_open_disjoint_from_line_in_halfplane.p	GeoTopBase.connected_open_disjoint_from_line_in_halfplane	150	150	0	0	false
GeoTopBase0_geotop_overlay_triangulation_subdivides_left.p	GeoTopBase0.geotop_overlay_triangulation_subdivides_left	11	11	0	0	false
GeoTopBase0_geotop_complex_simplex_rel_interior_nonempty.p	GeoTopBase0.geotop_complex_simplex_rel_interior_nonempty	15	15	0	0	false
GeoTopBase0_geotop_chain_simplex_butlast_in_rel_frontier.p	GeoTopBase0.geotop_chain_simplex_butlast_in_rel_frontier	281	281	0	0	false
GeoTopBase_geotop_disjoint_subcomplex_polyhedra_disjoint.p	GeoTopBase.geotop_disjoint_subcomplex_polyhedra_disjoint	29	29	0	0	false
GeoTop_punctured_circle_two_points_homeomorphic_real_cut.p	GeoTop.punctured_circle_two_points_homeomorphic_real_cut	219	219	0	0	false
GeoTop_Prefix_top1_frontier_component_of_geotop_1sphere.p	GeoTop_Prefix.top1_frontier_component_of_geotop_1sphere	63	63	0	0	false
GeoTop_Prefix_theta_graph_complement_has_two_components.p	GeoTop_Prefix.theta_graph_complement_has_two_components	140	140	0	0	false
GeoTop_Prefix_onedim_simplex_with_two_endpoints_eq_hull.p	GeoTop_Prefix.onedim_simplex_with_two_endpoints_eq_hull	161	161	0	0	false
GeoTop_Prefix_is_limit_point_of_UNIV_geotop_iff_islimpt.p	GeoTop_Prefix.is_limit_point_of_UNIV_geotop_iff_islimpt	70	70	0	0	false
GeoTopBase0_geotop_open_star_eq_carrier_contains_vertex.p	GeoTopBase0.geotop_open_star_eq_carrier_contains_vertex	44	44	0	0	false
GeoTopBase0_geotop_complex_simplex_closure_rel_interior.p	GeoTopBase0.geotop_complex_simplex_closure_rel_interior	15	15	0	0	false
GeoTopBase0_geotop_complex_point_in_unique_rel_interior.p	GeoTopBase0.geotop_complex_point_in_unique_rel_interior	13	13	0	0	false
GeoTop_Prefix_geotop_euclidean_topology_UNIV_hausdorff.p	GeoTop_Prefix.geotop_euclidean_topology_UNIV_hausdorff	175	175	0	0	false
GeoTopBase0_geotop_simplicial_complex_imp_cell_complex.p	GeoTopBase0.geotop_simplicial_complex_imp_cell_complex	67	67	0	0	false
GeoTopBase0_geotop_K_carrier_subset_containing_simplex.p	GeoTopBase0.geotop_K_carrier_subset_containing_simplex	17	17	0	0	false
GeoTopBase_top1_path_connected_on_geotop_imp_connected.p	GeoTopBase.top1_path_connected_on_geotop_imp_connected	8	8	0	0	false
GeoTopBase_geotop_broken_lines_glue_disjoint_endpoints.p	GeoTopBase.geotop_broken_lines_glue_disjoint_endpoints	99	99	0	0	false
GeoTopBase_geotop_V_subK_convhullK_is_simplex_vertices.p	GeoTopBase.geotop_V_subK_convhullK_is_simplex_vertices	57	57	0	0	false
GeoTop_closed_segment_radial_projection_preimage_local.p	GeoTop.closed_segment_radial_projection_preimage_local	294	294	0	0	false
GeoTop_Prefix_segment_face_with_endpoint_and_extra_eq.p	GeoTop_Prefix.segment_face_with_endpoint_and_extra_eq	70	70	0	0	false
GeoTop_Prefix_polygon_interior_union_subset_connected.p	GeoTop_Prefix.polygon_interior_union_subset_connected	57	57	0	0	false
